ID,問題,答え
568,"#568  
A panel of industry experts will need to decide 〇〇the proposed mining safety regulation should be implemented.

A. unless
B. although
C. whether
D. while
","正解：C. whether

A panel of industry experts will need to decide whether the proposed mining safety regulation should be implemented.

「業界の専門家委員会は、提案された鉱山安全規則を実施すべきかどうかを判断する必要があります。」

decide whether ～ ＝「～かどうかを決める・判断する」

whether は名詞節を作り、decide の目的語になります。

decide
［whether the regulation should be implemented］
「その規則を実施すべきかどうかを判断する」

A. unless＝～でない限り
B. although＝～だけれども
D. while＝～する間／一方で

これらは副詞節を作る接続詞で、decide の目的語にはなれません。

なお、文頭は「A panel of industry experts, we need」ではなく、おそらく「A panel of industry experts will need」です。
"
569,"#569  
意味：「?をはるかに超えて」「優に?以上」

意味：「かなり前もって」「十分早い時期に」
","well over

well in advance
"
570,"#570  
All cancellations made less than one month before the date of your flight are 〇〇 a fee.

A. possible
B. credited
C. additional
D. subject
","be subject to ?
「?の対象となる」「?を受ける」「?が課される」

ここでは、
cancellations are subject to a fee
＝「キャンセルは手数料の対象となる」
＝「キャンセルには手数料がかかる」
という意味です。
"
571,"#571  
markedly
","発音：マーカドリー

意味：
「著しく」「目立って」「明らかに」

品詞：
副詞

例：
Sales increased markedly.
売上は著しく増加した。

The new model is markedly different from the old one.
新型モデルは旧型とは明らかに異なる。

markedly better
著しく良い

markedly lower
著しく低い

語源：
marked「目立った、はっきりした」＋ -ly「?に」

mark は古英語 mearc（メアルク）「印、境界」に由来します。

同じ語源の英語：
mark「印、印を付ける」
marked「著しい、目立った」
marker「目印」
remark「発言する、述べる」
remarkable「注目すべき、著しい」

marketedly ではなく、markedly が正しいスペルです。
"
572,"#572  
confidence と confidentiality の違い
","confidence
発音：コンフィデンス
意味：

自信
信頼
秘密を打ち明けること

confidentiality
発音：コンフィデンシャリティ
意味：
「秘密保持」「機密性」「秘密が守られること」
"
573,"#573  
viable

発音：ヴァイアブル
","viable

発音：ヴァイアブル

意味：

実行可能な、現実的な
存続可能な、採算の取れる
生存可能な

例：
This is a viable option.
これは現実的な選択肢です。

The company needs a viable business model.
その会社には持続可能で採算の取れるビジネスモデルが必要です。

The project is not financially viable.
その計画は財政的に成り立ちません。

The fetus is viable.
その胎児は母体外で生存可能です。

よく使う形：
a viable alternative
実行可能な代案

commercially viable
商業的に成り立つ

economically viable
経済的に成り立つ

語源：
フランス語 viable（ヴィアーブル）「生きることのできる」
さらにラテン語 vita（ウィータ）「生命」に由来します。

同じ語源の英語：
vital「生命に関わる、極めて重要な」
vitality「生命力、活力」
vitamin「ビタミン」
revive「生き返らせる、復活させる」
survive「生き残る」
vivacious「生き生きした」
"
574,"#574  
英語の接続詞と副詞の違いを簡潔に説明しろ。
","接続詞は「文と文をつなぐ語」です。後ろに主語＋動詞を置けます。

例：
Although it was raining, we went out.
雨が降っていたが、私たちは外出した。

副詞は「動詞・形容詞・副詞・文全体を修飾する語」です。文と文を直接つなぐことはできません。

例：
It was raining. However, we went out.
雨が降っていた。しかし、私たちは外出した。

要点：
although＋主語＋動詞
however, 主語＋動詞

× It was raining, however we went out.
○ It was raining; however, we went out.
○ It was raining, but we went out.
"
575,"#575  
covet
","発音：カヴェット

意味：「他人の物を強く欲しがる」「むやみに欲しがる」
特に、他人が持っている財産・地位・成功などを欲しがる、やや否定的な語です。

例：
He coveted his neighbor’s wealth.
彼は隣人の富を欲しがった。

She coveted the position.
彼女はその地位を強く望んだ。

coveted
「誰もが欲しがる、切望される」

a highly coveted award
非常に名誉があり、誰もが欲しがる賞

語源：
古フランス語 covoitier（コヴォワティエ）「強く欲する」
さらにラテン語 cupiditas（クピディタース）「欲望」に関係します。

同じ語源の英語：
cupid「恋の神キューピッド」
cupidity「強欲」
Cupid「ローマ神話の愛の神」

want よりも「他人の物を欲しがる」「欲望が強い」という意味が強い語です。
"
576,"#576  
commend

commend と recommend の違い：
","commend（コメンド）【動詞】

意味：

褒める、高く評価する
推薦する
委ねる、託す

例文：
I commend you for your courage.
あなたの勇気を称賛します。

The report commends this plan to the board.
その報告書は、この計画を取締役会に推薦している。

語源：
ラテン語 commendare（コメンダーレ）「委ねる、推薦する」
com-（共に、強意）＋ mandare（マンダーレ）「命じる、託す」

同じ語源の英語：
command（命令する）
mandate（命令、権限）
recommend（推薦する）
demand（要求する）

commend と recommend の違い：
commend＝人や行為を「褒める、称賛する」
recommend＝物や方法を「勧める、推薦する」
"
577,"#577  
undergo
","undergo（アンダーゴウ）【動詞・他動詞】

意味：

～を経験する
～を受ける
～を経る

活用：
undergo - underwent - undergone

例文：
She underwent surgery last week.
彼女は先週、手術を受けた。

The building is undergoing renovation.
その建物は改修工事中です。

The company underwent major changes.
その会社は大きな変化を経験した。

語源：
under（アンダー）「下で」＋ go（ゴウ）「行く」
もともとは「ある過程の下を通っていく」というイメージで、そこから「困難・治療・変化などを経験する、受ける」という意味になりました。

同じ語源の英語：
go（行く）
underlying（根底にある）
undertake（引き受ける）
underpass（地下道）
underground（地下の）

注意：
undergo は他動詞なので、直後に目的語を置きます。

○ undergo surgery
× undergo to surgery
× undergo with surgery
"
578,"#578  
comparably（コンパラブリー）と relatively（レラティヴリー）の違い
","comparably＝同程度に、同じくらい
二つ以上のものが、ほぼ同じ程度であることを表します。

relatively＝比較的、相対的に
何かと比べれば「わりに～だ」という意味です。比較対象を明示しないことも多いです。
"
579,"#579  
A customer complained that she has not received her supplies, despite placing the order 〇〇 two weeks ago.

A. yet
B. over
C. still
D. for
","正解：B. over

完成文：
A customer complained that she has not received her supplies, despite placing the order over two weeks ago.

訳：
ある顧客は、2週間以上前に注文したにもかかわらず、商品をまだ受け取っていないと苦情を述べた。

over two weeks ago
＝2週間以上前に

over は数・期間の前で「～を超えて、～以上」という意味になります。

over two weeks＝2週間を超えて
over 100 people＝100人以上
over three years＝3年以上

A. yet
「まだ」ですが、通常は not yet received のように動詞の近くに置きます。

C. still
「まだ」ですが、still two weeks ago とは言いません。

D. for
for two weeks＝2週間にわたって
ただし、ago と for は一緒に使えません。

× for two weeks ago
○ two weeks ago
○ for two weeks

したがって、正解は B. over です。
"
580,"#580  
be enough compensated. これの何がおかしいか。
","be enough compensated がおかしいのは、enough の位置です。

compensated は過去分詞で、ここでは形容詞的に「補償されて」という状態を表します。形容詞や副詞を修飾する enough は、原則として後ろに置きます。

× be enough compensated
○ be compensated enough
"
581,"#581  
〇〇 that the menu has been finalized, the invitation for the banquet can be sent out.

A. so
B. because
C. now
D. already
","正解：C. now

完成文：
Now that the menu has been finalized, the invitation for the banquet can be sent out.

訳：
メニューが確定したので、宴会の招待状を発送できます。

now that ～＝今や～なので、～したので

「ある状況が成立した結果、次のことが可能になった」という意味です。

now that the menu has been finalized
＝メニューが確定したので

A. so
so that なら「～するために／その結果～」ですが、文頭の so that 節としては意味が合いません。

B. because
because that という形にはできません。

× Because that the menu has been finalized

because を使うなら that は不要です。

○ Because the menu has been finalized, ...

D. already
already that という接続表現はありません。

したがって、now that というまとまりになる C が正解です。
"
582,"#582  
The proposed movie theater is expected to 〇〇 a large number of visitors to the shopping complex.

A. encourage
B. appeal
C. patronize
D. draw
","正解：D. draw

完成文：
The proposed movie theater is expected to draw a large number of visitors to the shopping complex.

訳：
その新設予定の映画館は、そのショッピング施設に多くの来訪者を呼び込むと期待されている。

draw＋人＋to＋場所
＝人を場所に引きつける、呼び込む

draw visitors to the shopping complex
＝来訪者をショッピング施設に呼び込む

A. encourage
encourage＋人＋to do
＝人に～するよう促す

○ encourage visitors to come
× encourage visitors to the shopping complex

B. appeal
appeal to＋人
＝人の心を引きつける

○ appeal to visitors
× appeal visitors to the shopping complex

C. patronize
＝店などを利用する、ひいきにする

visitors patronize the shopping complex
のように、人が店を利用する側です。この文では映画館が来訪者を呼び込むので不適切です。

したがって、D. draw が正解です。
"
583,"#583  
vocational college
","意味：
職業訓練校、職業専門学校、専門学校

実務的な技術や、特定の職業に就くための知識を学ぶ学校です。

例：
She studied nursing at a vocational college.
彼女は専門学校で看護を学んだ。

vocational（ヴォウケイショナル）
＝職業の、職業訓練の

college（カレッジ）
＝大学、専門学校、高等教育機関

語源：
vocational はラテン語 vocare（ウォカーレ）「呼ぶ」に由来します。そこから vocation（ヴォウケイション）「天職、職業」という意味になりました。

college はラテン語 collegium（コッレギウム）「仲間の集まり、団体」に由来します。

同じ語源の英語：
vocation（職業、天職）
vocal（声の）
invoke（呼び起こす）
revoke（取り消す）
advocate（支持する、擁護する）

colleague（同僚）
collegial（同僚間の、協調的な）

日本の「専門学校」は、文脈によって vocational school または vocational college と訳します。
"
584,"#584  
Because of a severe 〇〇

A. malfunction
B. malfunction
C. malfunctions
D. malfunctioning
","正解：A または B（選択肢が同じため）

完成形：
Because of a severe malfunction
＝深刻な故障のために

a severe の後ろには、単数の可算名詞が必要です。

○ a severe malfunction
× a severe malfunctions
× a severe malfunctioning

D. malfunctioning は「誤作動していること」という動名詞ですが、通常 a severe malfunctioning とは言いません。
"
585,"#585  
問題分のあとに or が内科注意する
","either or
"
586,"#586  
後にtoではなくingが来るものの動詞
","consider doing
enjoy doing
覚え方

MEGAFEPSという語呂がよく使われます。

M：mind
E：enjoy
G：give up
A：avoid
F：finish
E：escape
P：practice、postpone
S：stop、suggest

これに次を加えると実用的です。

consider
admit
deny
recommend
risk
imagine
keep
miss
involve

注意が必要な動詞

stop doing
＝～するのをやめる
He stopped smoking.
彼は喫煙をやめた。

stop to do
＝～するために立ち止まる
He stopped to smoke.
彼はたばこを吸うために立ち止まった。

remember doing
＝～したことを覚えている
I remember meeting him.
彼に会ったことを覚えている。

remember to do
＝忘れずに～する
Remember to call him.
忘れずに彼に電話しなさい。

forget doing
＝～したことを忘れる
I will never forget meeting her.
彼女に会ったことを決して忘れない。

forget to do
＝～するのを忘れる
I forgot to lock the door.
ドアに鍵をかけるのを忘れた。

try doing
＝試しに～してみる
Try restarting the computer.
試しにコンピューターを再起動してみなさい。

try to do
＝～しようと努力する
I tried to restart the computer.
コンピューターを再起動しようとした。

regret doing
＝～したことを後悔する
I regret saying that.
そう言ったことを後悔している。

regret to do
＝残念ながら～する
We regret to inform you that...
残念ながら～をお知らせします。

要点は、consider、enjoy、avoid、finish、suggest、recommend、admit、deny、mind、riskなどの後ろでは、基本的に「動詞＋ing」を使うということです。

ChatGPT Work でさらに進める
作業内容を、洗練されたドキュメント、スライド資料、スプレッドシート、レポート、ウェ
"
587,"#587  
Given, considering, in light of, これらの三つは文のはじめにつくと、どのような意味になるか。
","文頭に置かれた場合、3つとも「～を考えると」「～を踏まえると」という意味になりますが、文法とニュアンスが少し違います。

Given ～
＝～を考慮すると、～という事情を考えると、～なので

Given the current situation, we should postpone the meeting.
現在の状況を考えると、会議を延期すべきです。

Given that sales have declined, the company may cut costs.
売上が減少していることを考えると、会社は経費を削減するかもしれません。

形：
Given＋名詞
Given that＋文

given はここでは前置詞・接続詞のように使われます。「その事実を前提として」という意味が強いです。

Considering ～
＝～を考慮すると、～の割には

Considering the weather, the event was successful.
天候を考慮すると、その行事は成功だった。

Considering that he is new, he performed very well.
彼が新人であることを考えると、非常によくやった。

形：
Considering＋名詞
Considering that＋文

considering は「さまざまな事情を考えて判断すると」という意味です。特に「～の割には」という評価に使われることがあります。

Considering his age, he is very active.
年齢の割には、彼はとても活動的です。

In light of ～
＝～に照らして、～を踏まえて、～を受けて

In light of the new evidence, the case will be reviewed.
新しい証拠を踏まえて、その事件は再検討されます。

In light of recent changes, we revised the policy.
最近の変更を受けて、方針を改定しました。

形：
In light of＋名詞

通常、直後に文は置けません。

○ In light of the fact that sales have declined, ...
売上が減少したという事実を踏まえると……

× In light of sales have declined, ...

違いを簡単に言うと、

Given ～
＝その事実を前提にすると

Considering ～
＝事情をよく考えると、～の割には

In light of ～
＝新しい情報・証拠・状況を踏まえて

3つを比較すると、

Given the bad weather, the game was canceled.
悪天候という事情があるので、試合は中止された。

Considering the bad weather, the game went well.
悪天候だったことを考えると、試合はうまくいった。

In light of the bad weather, the game was canceled.
悪天候を踏まえて、試合は中止された。

Given と in light of は似ていますが、in light of のほうが「情報や状況を受けて判断・決定した」という、やや硬く公式な表現です。
"
588,"#588  
aptitude
","意味：

適性、才能
素質、能力
～を習得する力

例文：
She has an aptitude for languages.
彼女には語学の才能がある。

He showed a strong aptitude for mathematics.
彼は数学に強い適性を示した。

aptitude for ～
＝～に対する適性、才能

語源：
ラテン語 aptus（アプトゥス）「適した、ふさわしい」から来ています。

同じ語源の英語：
apt（適した、物覚えの速い）
adapt（適応させる）
adaptable（適応力のある）
aptly（適切に）
inapt（不適切な、適性のない）

似た語との違い：
aptitude＝生まれつき、または比較的自然に備わった適性
ability＝実際に何かをする能力
skill＝訓練によって身につけた技能
talent＝特定分野での優れた才能

aptitude test
＝適性検査
"
589,"#589  
immediate supervisor
","immediate supervisor

意味：直属の上司、直接の上司

immediate はここでは「即時の」ではなく、「間に誰も入らない、直接の」という意味です。

例：
Please report the problem to your immediate supervisor.
その問題を直属の上司に報告してください。

語源：
immediate はラテン語 immediatus（イメディアートゥス）「間に何もない」に由来します。
im-「?でない」＋ medius（メディウス）「中央の、間の」

supervisor はラテン語 super（スペル）「上から」＋ videre（ウィデーレ）「見る」に由来し、「上から監督する人」という意味です。

同じ語源の英語：
mediate「仲介する」
medium「中間、中間媒体」
intermediate「中間の」
vision「視力、視覚」
video「映像」
revise「見直す、修正する」
provide「提供する」


direct supervisor
直属の上司。immediate supervisor とほぼ同じ意味で、最も自然な言い換えです。

直属性を少し弱めるなら、
supervisor
上司、監督者

manager
管理職、上司

line manager
直属の管理職、直属の上司。特にイギリス英語でよく使います。

reporting manager
自分が直接報告する上司。会社の組織図や人事関係で使われます。
"
590,"#590  
The construction project is scheduled to begin 〇〇 early October.

A. on
B. at
C. in
D. as
","正解：C. in

The construction project is scheduled to begin in early October.
「その建設プロジェクトは10月初旬に始まる予定です。」

月の前には前置詞 in を使います。

はい、月だけなら in です。

in January
1月に

in February
2月に

in October
10月に

一方、on は「特定の日」に使います。

on January 5
1月5日に
"
591,"#591  
provided that
","provided that

意味：「?という条件で」「もし?ならば」「?である限り」

条件を表す接続詞で、ifよりも「条件付きで」という意味がやや強いです。

You may leave early, provided that you finish your work.
仕事を終えるという条件で、早く帰ってもよい。

Provided that the weather is good, we will hold the event outdoors.
天気がよければ、イベントを屋外で行います。

provided that ＝ providing that ＝ on condition that
いずれも「?という条件で」です。

語源：
provide はラテン語 providere（プロウィデーレ）「前もって見る、準備する」に由来します。
pro（プロ）「前に」＋ videre（ウィデーレ）「見る」

もともと provided that は「?という条件が用意されているなら」という感覚から、条件を表す接続詞になりました。

同じ語源の英語：
provide「提供する」
provision「供給、規定」
provisional「暫定的な」
providence「摂理、先見」
vision「視覚」
video「映像」
revise「見直す、修正する」
"
592,"#592  
take advantage of
","take advantage of

意味：

～を利用する、活用する
～につけ込む、～を不当に利用する

例：
We took advantage of the discount.
私たちはその割引を利用した。

You should take advantage of this opportunity.
この機会を活用すべきです。

He took advantage of her kindness.
彼は彼女の親切につけ込んだ。

語源：
advantage は古フランス語 avantage（アヴァンタージュ）「有利な立場」に由来します。さらに avant（アヴァン）「前に」が語源です。
take advantage of は直訳すると「～の有利な点を取る」で、そこから「利用する」という意味になりました。

同じ語源の英語：
advance「前進する」
advanced「進んだ、高度な」
advantage「利点」
disadvantage「不利、欠点」

注意：
人を目的語にすると、悪い意味になることが多いです。

take advantage of a person
人につけ込む

物・制度・機会を目的語にすると、通常は良い意味です。

take advantage of a service
サービスを利用する
"
593,"#593  
Jaffna International Airport used to be among the busiest in the region, 〇〇 more than 1,500 passengers per hour.

A. serves
B. serving
C. served
D. serve
","正解：B. serving

全文：
Jaffna International Airport used to be among the busiest in the region, serving more than 1,500 passengers per hour.

訳：
「ジャフナ国際空港は、かつてこの地域で最も利用客の多い空港の一つで、1時間に1,500人を超える乗客に対応していました。」

また、which served とすることは文法的には可能です。
 ..., which served more than 1,500 passengers per hour.
★★★★しかし、関係代名詞 which が関係詞節の主語になっている場合、which は省略できません。
"
594,"#594  
function
","ある。function は名詞で「行事、催し、式典、集まり」という意味があります。

例：
a school function
「学校行事」

an official function
「公式行事、公式の式典」

attend a function
「行事・催しに出席する」

ただし functions と複数形なら、「複数の行事」という意味にも、「機能」という意味にもなります。文脈で判断します。

The hotel hosts many functions.
「そのホテルでは多くの催しが開かれる。」

語源：
ラテン語 functio（フンクティオー）＝「遂行、職務、役割」
そこから「役割・機能」という意味が生まれ、さらに「特定の目的をもつ公式の集まり・行事」という意味にも広がりました。

同語源：
functional「機能的な」
functionality「機能性」
dysfunction「機能不全」
defunct「廃止された、機能しなくなった」
"
595,"#595  
all, other, most, every。この中で、可算名詞の単数形を修飾できるのはどれか。
","可算名詞の単数形を直接修飾できるのは、other と every です。
ただし、名詞の直前に単独で置けるという意味では、最も明確な答えは every です。

all：原則として複数名詞または不可算名詞
all students（すべての学生）
all information（すべての情報）
× all student

other：単数名詞も修飾できる
the other student（もう一人の学生）
another student のように、冠詞などが必要です。
× other student と単独で使うのは通常不自然です。

most：複数名詞または不可算名詞
most students（ほとんどの学生）
most information（大部分の情報）
× most student

every：可算名詞の単数形
every student（すべての学生、一人一人）
× every students

したがって、答えは other と every です。
"
596,"#596  
alteration
","alteration
意味：変更、改変、修正、手直し

例：
We made several alterations to the plan.
私たちは計画にいくつかの変更を加えた。

The dress needs some alterations.
そのドレスは少し仕立て直す必要がある。

alteration は alter（変更する）＋ -ation（行為・結果を表す名詞語尾）です。

語源：
ラテン語 alter（アルテル、「二つのうちのもう一方、別の」）→ alterare（アルテラーレ、「別のものにする、変更する」）

同じ語源の英語：
alter（オルター）＝変更する
alternative（オルターナティヴ）＝代わりの、選択肢
alternate（オルタネイト）＝交互の、交代する
alter ego（オルター・イーゴー）＝別の自分、分身

なお、alternation（オルタネーション）なら「交互になること、交代」という別の単語です。
"
597,"#597  
①for a ●● while　　
?for ●● a while 

A long
B quite
","① for a long while
＝長い間

② for quite a while
＝かなり長い間、しばらくの間
"
598,"#598  
The Vista wristband, 〇〇, at $99.

A. is priced
B. has priced
C. is pricing
D. prices
","正解：A. is priced

The Vista wristband is priced at $99.
＝Vistaのリストバンドは99ドルに設定されている。

be priced at＋価格
＝「～の価格に設定されている」「～で販売されている」

price は「値段を付ける」という他動詞なので、商品を主語にする場合は受動態の is priced が必要です。

B. has priced
「値段を付けた」という能動態なので、主語は店や会社などでなければなりません。

C. is pricing
「値段を付けている最中だ」という意味になり、商品自体を主語にはしにくいです。

D. prices
「値段を付ける」という能動態なので不適切です。
"
599,"#599  
It is possible that ～.
","It is possible that ～.
＝「～という可能性がある」

例：
It is possible that he will come.
＝彼が来る可能性がある。

It is possible to ～.
＝「～することが可能である」

例：
It is possible to finish the work today.
＝今日その仕事を終えることは可能である。

つまり、「何々」に文を入れるなら that、「動詞」を続けるなら to です。
"
600,"#600  
substantial
","かなりの、相当な
a substantial increase
＝かなりの増加
多額の、大規模な
a substantial amount of money
＝かなりの金額
重要な、実質的な
substantial evidence
＝十分な根拠のある証拠
丈夫な、しっかりした
a substantial building
＝頑丈な建物

例文：
The company made a substantial profit.
＝その会社はかなりの利益を上げた。

語源：
ラテン語 substantia（スブスタンティア、「実体、本質」）
← sub（スブ、「下に」）＋ stare（スターレ、「立つ」）

つまり、もともとは「下でしっかり支えているもの」という意味です。

同じ語源の英語：
substance（サブスタンス）＝物質、実体
substantially（サブスタンシャリー）＝かなり、実質的に
substantiate（サブスタンシエイト）＝立証する
stand（スタンド）＝立つ
stable（ステイブル）＝安定した
"
601,"#601  
before、prior to、after の後ろ
","before、prior to、after の後ろに、to＋動詞の原形は原則として置きません。

before leaving
prior to leaving
after leaving

× before to leave
× prior to to leave
× after to leave

特に prior to の to は不定詞の to ではなく前置詞です。そのため、後ろは動詞の原形ではなく、動名詞 -ing にします。

○ prior to leaving
＝出発する前に

○ before leaving
＝出発する前に

○ after leaving
＝出発した後で
"
602,"#602  
versatile
","versatile（ヴァーサタイル／ヴァーサトル）

意味：

多才な
a versatile actor
＝多才な俳優
用途の広い、汎用性の高い
a versatile tool
＝多用途の道具
さまざまな状況に適応できる
a versatile employee
＝幅広い仕事に対応できる社員

例文：
This software is highly versatile.
＝このソフトウェアは非常に汎用性が高い。

語源：
ラテン語 versatilis（ウェルサーティリス、「回転できる、さまざまな方向に動かせる」）
← versare（ウェルサーレ、「回す、向きを変える」）
← vertere（ウェルテレ、「回す、変える」）

もともとは「自由に向きを変えられる」という意味で、そこから「さまざまな用途や仕事に対応できる」という意味になりました。

同じ語源の英語：
version（ヴァージョン）＝版、変形
convert（コンヴァート）＝変える
reverse（リヴァース）＝逆にする
diverse（ダイヴァース）＝多様な
universe（ユニヴァース）＝宇宙
conversation（カンヴァセーション）＝会話
"
603,"#603  
〇〇 domestic employees report high levels of satisfaction, while their counterparts abroad view their jobs less positively.

A. Contrary to
B. Whereas
C. Notwithstanding
D. Even so
","正解：B. Whereas

Whereas domestic employees report high levels of satisfaction, while their counterparts abroad view their jobs less positively.
＝国内の従業員は高い満足度を示している一方で、海外の同職者は自分の仕事をそれほど肯定的に見ていない。

whereas は接続詞で、「一方で」「?なのに対して」という対比を表します。後ろには主語＋動詞の文が続きます。

A. Contrary to
contrary to は前置詞なので、後ろには名詞または動名詞が必要です。
× Contrary to domestic employees report ...

C. Notwithstanding
「?にもかかわらず」という意味です。前置詞として使うなら後ろは名詞、接続詞として使う場合もこの文の単純な対比には不自然です。

D. Even so
「それでも」という接続副詞です。前の文を受けて使うため、文頭に置くなら通常はコンマの後に独立した文が続きます。この文では二者の対比を直接つなぐ whereas が最適です。

なお、文中にすでに while があるため、実際には whereas と while の両方を使うと意味が重複します。自然な形は次のどちらかです。

Whereas domestic employees report high levels of satisfaction, their counterparts abroad view their jobs less positively.

Domestic employees report high levels of satisfaction, while their counterparts abroad view their jobs less positively.
"
604,"#604  
accommodate your request
","意味：
「あなたの要望に応じる」
「あなたの依頼に対応する」
「あなたの希望を受け入れる」

例：
We will do our best to accommodate your request.
＝ご要望に沿えるよう最善を尽くします。

accommodate は「人の都合・要望に合わせる」「必要なものを提供する」という意味です。

つづり：
× accomdate
○ accommodate

語源：
ラテン語 accommodare（アッコモダーレ、「適合させる、都合をつける」）
← ad（アド、「～へ」）＋ commodus（コンモドゥス、「都合のよい、適切な」）

同じ語源の英語：
accommodation（アコモデイション）＝宿泊施設、便宜、調整
commodious（コモウディアス）＝広々とした
commodity（コモディティ）＝商品、日用品
"
605,"#605  
「?の一環として」は英語で、
","as part of ?
＝?の一環として

例：
As part of the project, the company conducted a survey.
＝そのプロジェクトの一環として、会社は調査を実施した。

As part of our training program, employees attend monthly workshops.
＝研修プログラムの一環として、従業員は毎月の講習会に参加する。

ほかに、

as part of an effort to ?
＝?する取り組みの一環として

例：
As part of an effort to reduce costs, the company closed several offices.
＝費用を削減する取り組みの一環として、会社はいくつかの事務所を閉鎖した。
"
606,"#606  
blitzkrieg
","blitzkrieg（ブリッツクリーク）

意味：電撃戦。機甲部隊や航空機などを集中投入し、敵が態勢を整える前に短期間で突破・包囲する戦法。

語源：ドイツ語 Blitzkrieg（ブリッツクリーク）
Blitz（ブリッツ）＝稲妻、電光
Krieg（クリーク）＝戦争
直訳すると「稲妻の戦争」「電撃的な戦争」。

例文：
Germany used blitzkrieg tactics in the early stages of World War II.
ドイツは第二次世界大戦初期に電撃戦の戦術を用いた。

英語では比喩的に「猛烈な攻勢」「短期間の集中キャンペーン」という意味でも使う。
The company launched an advertising blitzkrieg.
その会社は猛烈な広告攻勢を開始した。

同じ語源・関連語：
blitz（ブリッツ）＝電撃攻撃、猛烈な集中攻撃
blitzed（ブリッツト）＝激しく攻撃された／口語では泥酔した
blitz campaign（ブリッツ・キャンペーン）＝短期間の集中キャンペーン
the Blitz（ザ・ブリッツ）＝第二次世界大戦中のドイツ軍によるイギリスへの大規模空襲

発音：/?bl?ts.kri??/「ブリッツクリーグ」に近い。
"
607,"#607  
〇〇 to Lotus Restaurant have nearly doubled the size of the seating area.

A. improved
B. improvement
C. improvements
D. improving
","答え：C. improvements

A. improved を選んでしまった。to を見落とした。

"
608,"#608  
Employees interested in 〇〇
","Employees interested in 〇〇

この interested は過去形ではありません。過去分詞が形容詞として使われています。

Employees interested in 〇〇
＝〇〇に興味を持っている従業員
＝Employees who are interested in 〇〇

つまり、who are が省略された形です。

interest は本来「人に興味を持たせる」という他動詞です。

〇〇 interests employees.
＝〇〇が従業員に興味を持たせる。

Employees are interested in 〇〇.
＝従業員は〇〇に興味を持っている。

このため、人の感情を表す側には interested を使います。

interested：興味を持っている
interesting：興味を起こさせる、面白い

例：
Employees interested in the position should contact the manager.
＝その職に興味がある従業員は、マネージャーに連絡してください。

The position is interesting.
＝その職は興味深い。

したがって、Employees interested in 〇〇 の interested は「過去形」ではなく、「興味を持っている」という状態を表す過去分詞形容詞です。
"
609,"#609  
be subject to ～
","be subject to ～

意味：

～の対象となる
～に従う、～を受ける
～次第である、～を条件とする
～になりやすい

subject はここでは形容詞で、「～の支配・影響を受ける」という意味です。to は前置詞なので、後ろには名詞・代名詞・動名詞が来ます。

例：
All cancellations are subject to a fee.
＝すべてのキャンセルには手数料がかかります。

The schedule is subject to change.
＝予定は変更される場合があります。

This offer is subject to approval.
＝この提案は承認を条件とします。

The area is subject to flooding.
＝その地域は洪水が起こりやすいです。

注意：
subject to の to は不定詞の to ではありません。

× subject to change the schedule
○ subject to a change
○ subject to changing conditions

語源：
subject はラテン語 subicere（スビケレ）「下に投げる、服従させる」に由来します。
sub-（サブ）＝下に
jacere（ヤケレ）＝投げる

同じ語源の英語：
object「反対する、物体」
project「計画、投影する」
reject「拒絶する」
inject「注入する」
eject「追い出す」
interject「口を挟む」
"
610,"#610  
provided that ～
","意味：
「～という条件で」「もし～ならば」

接続詞として使い、後ろには主語＋動詞が続きます。if よりも「条件」を強く示します。

例：
You may leave early provided that you finish your work.
＝仕事を終えるという条件で、早く帰ってもよい。

Provided that the weather is good, we will hold the event outside.
＝天気がよければ、その行事は屋外で行います。

provided that ＝ providing that
どちらもほぼ同じ意味です。

語源：
provide はラテン語 providere（プロウィデーレ）「前もって見る、備える」に由来します。
pro-（プロ）＝前に
videre（ウィデーレ）＝見る

「前もって条件を定めておく」という意味から、provided that が「～という条件で」という接続詞になりました。

同じ語源の英語：
vision＝視覚、展望
video＝映像
visible＝見える
evidence＝証拠
revise＝見直す、改訂する
supervise＝監督する

注意：
provide that より、通常は provided that または providing that を使います。
"
611,"#611  
Bone Tree Medical Group has moved to Cyber Avenue, two blocks 〇〇 the post office and the police station.

A. among
B. through
C. near
D. past
","答え：D. past

説明：
two blocks past ～ で「～を通り過ぎて2ブロック先」という意味になります。

two blocks past the post office and the police station
＝郵便局と警察署を通り過ぎて2ブロック先

A. among
「～の間に、～の中に」ですが、通常3つ以上のものに囲まれている場合に使います。two blocks among ～ とは言いません。

B. through
「～を通り抜けて」という意味ですが、建物や場所の内部を通過するニュアンスなので不適切です。

C. near
「～の近くに」ですが、two blocks near ～ という形にはできません。

D. past
「～を通り過ぎて」で、距離表現と相性がよく、
two blocks past ～
＝～を過ぎて2ブロック先
となるので正解です。

訳：
Bone Tree Medical GroupはCyber Avenueへ移転しました。郵便局と警察署を通り過ぎて2ブロック先です。
"
