ID,問題,答え
1069,"SC-R3S-PM1
問1

リソースサーバーとは
","リソースサーバーとは
OAuth 2.0 において
アクセストークンで保護されているリソースを提供するサーバー。

重要なポイント
「リソースサーバー」という呼び方はそのサーバーの役割を指している。

物理的なサーバー名やサービス名そのものではない。

もう少し噛み砕くと
・OAuthで守りたいデータやAPIがある
・それを持っているサーバー
→ それがリソースサーバー

具体例
・ユーザーのアカウント情報
・プロフィー

これらをアクセストークンがないと取得できない場合そのAPIを提供するサーバーがリソースサーバー。
"
1070,"SC-R3S-PM1
問1

アカウントは攻撃者か利用者か

Y氏は,一つ目の問題を、次の攻撃シナリオで説明した。S サービスにログインしていない利用者が攻撃者の用意した罠サイトにアクセスすると,図4中に示すシーケンスXが走り、後に, 2利用者が攻撃を受けているとは知らずにSサービスにファイルをアップロードすると,そのファイルを攻撃者にダウン ロードされてしまうおそれがある。この場合、ファイルをアップロード・ダウンロードすると、 このアカウントは利用者のアカウントか攻撃者のアカウントか
","こんな問題は、認可サーバ云々ではなく「攻撃者アカウント」！
"
1071,"SC-R3S-PM1
問1

1. state

誰が作るか：

どこで使うか：

目的：　

送信される場所：

検証方法：
","state　← 「認可リクエスト」で作られる。つまり認可リクエストの場所が違えば変わってくる。

誰が作るか：クライアント（アプリ）

どこで使うか：認可コードフローなど、認可リクエストとリダイレクトの間

目的：　CSRF攻撃防止
認可レスポンスをリクエストと紐づける

送信される場所：認可リクエストのパラメータ

検証方法：リダイレクトで返ってきたstateがクライアントが送ったものと一致するか確認
"
1072,"SC-R3S-PM1
問3

DNS over HTTPS/TLSとは
","DNS over HTTPS/TLSとは、クライアントがキャッシュDNSサーバに問い合わせをする際に、DNSクエリをHTTPSやTLSのプロトコルで暗号化するための手順である。

通常はプルサービスリゾルバーとPCは同じ会社、だから同じネットワークにいる。 そうすると、その間に中間者攻撃が入るということか。

はい、その理解でほぼ合っています。整理するとこうです。

通常のDNSの問題点

DNSは基本的に 平文（暗号化されていない） でやり取りされる

たとえキャッシュDNSサーバ（リゾルバ）が同じ会社や同じネットワーク内にあっても、

LAN内やISP内部で 中間者攻撃（MITM） が可能

例：DNSクエリを書き換えて偽サイトに誘導する DNSスプーフィング
要するに、同じネットワークにいても平文DNSだとMITMの危険があるため、DoH/DoTで暗号化することで安全性を高める、という仕組みです。
"
1073,"SC-R2S-PM1
問1

SubjectAltNameとは
Subject Alternative Name
","まとめ

subjectAltName は証明書が有効な名前の正式な一覧

現代のTLSではCNよりSANが優先される　← ★★★

サーバ証明書ではSANにドメイン名を書くのが必須

つまり、ドメイン名を取得するのは、まずSubject、Alt、Name、 それがなかったらSubjectのCommonNameを使うのか。

はい、TLS/HTTPS証明書における接続先ドメイン名の照合順序はそのイメージで正しいです。整理するとこうなります。

subjectAltName (SAN) を最優先

証明書に SAN がある場合、ここに書かれた DNS 名・IP アドレス・URI などのリストだけを使って照合

現代のブラウザや TLS 実装では、SAN にない名前は無効扱い

SAN がない場合

仕方なく Subject の CN（Common Name）を使って照合

ただし古い互換用の方法であり、現在は推奨されない
"
1074,"SC-R2S-PM1
問2

デジタル署名を●●する。
","検証　← 認証ではない！
"
1075,"SC-R2S-PM2
問1

シェアード・シークレットとは何か?
","シェアード・シークレット（shared secret）とは、通信する両者だけが知っている秘密情報のことです。

●例
Wi-Fi WPA/WPA2 のパスフレーズ
API のアクセスキーとシークレットキー
認証トークンを作るための秘密鍵

●使い方のイメージ
サーバとクライアントが同じシークレットを持つ
それを使ってハッシュや暗号化で認証メッセージを作る
相手も同じシークレットで計算して一致すれば認証成功
"
1076,"SC-R2S-PM2
問1

Implicit フローとは
","Implicit フロー（OAuth 2.0 の場合）

●ブラウザで直接アクセストークンを受け取るフロー
●トークンエンドポイント（/token）を通さずに、認可エンドポイントから直接アクセストークンが返される
●そのためクライアントシークレットは不要で、公開クライアント（JavaScript アプリなど）向き
"
1077,"SC-R2S-PM2
問1

クラウドの脆弱性診断の代わりとなるものは
","監査報告書で確認する。
"
1078,"SC-R2S-PM2
問1

VPNのセキュリティを高める方法は？
","クライアント証明書によるデバイス認証。

VPNには必ずしもクライアント認証が必要ではありません。

VPNの目的
●公衆ネットワーク上で安全に通信すること
●通信内容の暗号化（トンネル化）
"
1079,"SC-R2S-PM2
問1

TOTPの仕組みを最短ステップでまとめる。
","1 事前に
サーバと端末で同じシェアード・シークレットを持つ

2 生成
現在時刻を一定間隔（例 30秒）で区切る
秘密鍵＋時刻からHMACを計算する

3 表示
計算結果から6桁などの数字を作り、OTPとして表示

4 検証
サーバも同じ計算を行い、一致すれば認証成功

一言まとめ
「同じ秘密鍵と同じ時刻から、両者が同じワンタイムパスワードを作る」。
"
1080,"SC-R1A-PM2
問1

Linuxのtopコマンドは
","Linuxのtopコマンドは、リアルタイムでプロセスとシステム資源の使用状況を監視するツールです。
表示内容：

CPU使用率、メモリ使用量、ロードアベレージ

プロセス一覧（PID、ユーザー、CPU/メモリ使用率、実行時間）
操作：

ソート変更、プロセス終了、優先度変更など可能
用途：

高負荷原因の特定、リソース監視
"
1081,"SC-R1A-PM2
問1

procディレクトリとは
","/procディレクトリは、Linuxでカーネルとプロセスの情報を仮想ファイルとして提供する特殊なディレクトリです。

特徴：

実際のディスク上のファイルではなく、カーネルが動的に生成する仮想ファイル

システム情報や各プロセスの情報を読み取れる

主な内容：

/proc/cpuinfo：CPU情報

/proc/meminfo：メモリ情報

/proc/[PID]/：特定プロセスの詳細情報（状態、メモリ使用量、オープンファイルなど）

/proc/uptime：稼働時間

用途：

システム監視、プロセス解析、デバッグやチューニング
"
1082,"SC-R1A-PM2
問1

全然わからないときに、なんでもいいから書いておくべきは。
","構成とバージョン
"
1083,"SC-R1A-PM2
問1

回帰テストとは
","回帰テストは英語で Regression Test と言います。

回帰テストとは、ソフトウェアの修正や機能追加の後に、既存機能が正しく動作するかを確認するテストです。
"
1084,"SC-R1A-PM2
問2

User-Agent ヘッダフィールドとは
","具体例
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) Firefox/146.0

この情報を使ってサーバは
・PC向け、スマホ向けで表示を切り替える
・特定ブラウザ専用の処理を行う
・アクセス解析やログ分析を行う
"
1085,"SC-R1A-PM2
問2

CVSSの3つの値の違いは
","基本値
脆弱性そのものの危険度
環境に依存しない共通評価

現状値
時間とともに変わる危険度
攻撃コード公開や修正状況を反映

環境値
自組織の環境での危険度
★★★業務重要度や配置を反映
"
1086,"SC-R1A-PM2
問2

ECBモードとCTRモード
Electronic Codebook　　
Counter
","1. ヘッダは平文
TCP/IPやKCPのヘッダは、ルータやスイッチが読めるように平文で送られる
暗号化モード（ECBやCTR）で扱うのは ペイロード部分だけ
そのため、ヘッダは平文で固定されていて、暗号文ブロックとして繰り返されることはない

2. ECBで問題になるのは「暗号化対象の繰り返し」
ペイロードをECBで暗号化すると
同じペイロードブロックが何度も出ると、同じ暗号文ブロックになる
これが「統計的攻撃」「平文パターン推測」のリスク

3. CTRモードの場合
ペイロードブロック = 平文 ⊕ キーストリーム
平文が同じでも、カウンタ値が変われば暗号文は異なる
"
1087,"SC-R1A-PM2
問2

CONNECTメソッドとは
","CONNECTメソッドでは
URLは使わない。
基本は「FQDN:ポート番号」を指定する。

整理するとこうなる。

CONNECTのリクエスト行
CONNECT ホスト名:ポート HTTP/1.1

ここに書くもの
・スキーム（https://）は書かない
・パス（/index.html など）は書かない
・クエリ（?a=b など）は書かない

指定できる対象
・通常はFQDN（例：www.example.com:443）

・技術的にはIPアドレス:ポートも指定可能（例：203.0.113.10:443）

なぜFQDNが使われるか
・HTTPSではTLSのSNIでホスト名が必要
・証明書検証もホスト名ベース
・そのため実運用ではFQDN指定が前提に
"
1088,"SC-R1A-PM2
問2

HTTPS通信の場合，社内PCからプロキシサーバにCONNECTメソッドによって接続要求を送る時点では平文でWebサーバの g 名とポート番号が渡されるが，社内PCとWebサーバの間でTLSセッションが成立して暗号通信路が確立した後は，プロキシサーバでは内容を f ことはできない。そのため，HTTPS通信の場合，実質的にブラックリストに登録できるのが，URLの g 部とポート番号部だけであり， h 部は指定できないことや，そもそもブラックリストに登録すべきURL情報が必要なタイミングで入手できないことから効果が期待できないとの結論となった。
","f　読み取る
g　ホスト
h　パス
"
1089,"SC-H31A-PM2
問2

第三者からのメール転送を制限せず、誰でも自由にメールを中継できてしまうことを何というか。
","オープンリレー
"
1090,"SC-H31A-PM2
問2

基本的にプロキシを使わないもの
","SMTP
POP3
IMAP
SSH
Telnet
RDP
DB接続系
"
1091,"SC-H30H-PM2
問1

なぜこの # 以降（フラグメント）はHTTP リクエストとしてサーバーに送られないのか
"," # 以降（フラグメント識別子）は、URL の仕様で「クライアント側だけで使う情報」と定義されているため、HTTP リクエストとしてサーバーには送られない。

実際の HTTP リクエスト例

ブラウザでアクセス
https://example.com/page.html#test

実際に送られるリクエスト

GET /page.html HTTP/1.1
Host: example.com

#test は含まれない。

"
1092,"SC-H30H-PM2
問1

DOM based XSSの対処方法
","フラグメント識別子の値で，クライアント上で動的にHTMLドキュメントが生成される場合，Rポータルへのアクセスを行わなくても，クライアント上だけでスクリプトを分析することができます。具体的には，“#”以降のフラグメント識別子の値をいろいろ変化させて表示させ，その挙動を確認することで，スクリプトが実行される脆弱性があるかどうかが確認できます。

したがって，解答は，スクリプトを分析し，フラグメント識別子の値の変化による挙動を確認する，となります。
"
1093,"SC-H30H-PM2
問1

したがって,空欄eは製作パートナに渡すCCIの数となります。
","セキュリティの試験なのだから、セキュリティに関係する回答を考える。
"
1094,"SC-H30H-PM2
問1

DRM サーバへの通信を製作パートナのグローバル IP アドレスからだけに制限する
","何の問題でも、まずこの解答を思いつくこと。
"
1095,"SC-H30H-PM2
問2

攻撃がWebサーバのアクセスログに残らない方法は？
","攻撃に使われる文字列が POST データ内に含まれている場合
"
1096,"SC-H30A-PM2
問2

マルウェア感染のPCをネットワークから切断する前に行うことは
","メモリダンプを取る。
"
1097,"SC-H30A-PM2
問2

SC-H30A-PM2
問2
","pro.php の正体

pro.php は
・PHPで書かれたサーバサイドプログラム
・Webサーバ（Apache / Nginx + PHP-FPM など）上で動く
・URLの一部として公開されているエンドポイント

例
https://IPn.example/pro.php

ブラウザやマルウェアがGET や POST を送ると、Webサーバがそれを PHPとして実行し、その実行結果をHTTPレスポンスとして返す。

"
1098,"SC-H30A-PM2
問2

(5) 図7中の下線5について, Dさんの利用者 ID を用いた PC-B へのログインに最初に成功するまでに, 攻撃者が何回ログインに失敗したことが記録され ているか。 記録されている失敗の回数を答えよ。
","「最初に成功するまでに」が引っかけ問題。

単純に数えられるときは、ヒッカケ！を肝に銘ずる。
"
1099,"SC-H30A-PM2
問2

同じファイルかどうかを確認する方法は？
","ファイルサイズとハッシュ値
"
1100,"SC-H29S-PM2
問2

①ウイルスチェックをするときの常識は？

①ウイルスチェック対策の常識は？
","①ファイルを暗号化しない。

②業務LANの全てのサーバにホスト型IPSソフトウェアを導入する。
"
1101,"SC-H29A-PM2
問2

3ウェイハンドシェイク
","SYN⇒SYN/ACK⇒ACK　← 間違えた！
"
1102,"SC-H29A-PM2
問2

3ウェイハンドシェイクが失敗したときの受信反応
","①RST
②応答なし
"
1103,"SC-H29A-PM2
問2

出荷済み機器（カメラ）への脆弱性対策は？
","ファームウェアを修正して配布
"
1104,"SC-H29A-PM2
問2

開発委託先との契約に入れる条件の定石は？
","脆弱性検査の合格を受け入れ条件とすること。
"
1105,"SC-H29A-PM2
問2

構成管理を導入していないときの問題点は？
","静寂性がシステムに影響するかどうかを短時間で判断できない。
"
1106,"SC-R1A-PM1
問1

DNSトンネリングの特徴
","DNSトンネリングとは
DNSという名前解決の仕組みを悪用して、本来は通さない通信データをDNS問い合わせや応答に埋め込み、外部と通信する手法である。

典型的な特徴
・非常に長いドメイン名
・意味のない文字列が連続するサブドメイン
・同一ドメインへの高頻度なDNS問い合わせ
・通常よりTXTレコードの利用が多い
"
1107,"SC-H27S-PM2
問1

SMTP通信では、基本的に次の順でコマンドが送られます。
","HELO または EHLO

MAIL FROM

RCPT TO 　← 思い出せなかった。

DATA
"
1108,"SC-H27S-PM2
問1

この場合、FWにどういう設定をするか

現状ではすべて「拒否」になっている。
初期設定用ネットワークからの接続サイトを制限する設定。

","現状ではすべて「拒否」になっている。

許可するURLを設定する！

「接続サイトを制限する」の文字で、ついつい「何を拒否」するのか、と頭が固まってしまった。
"
1109,"SC-H27S-PM2
問1

正規表現 超要点一覧

",". ：任意の1文字
? ：直前の文字が0回または1回

[abc] ：a / b / c のどれか1文字
[0-9] ：数字1文字
[^0-9] ：数字以外の1文字

^ ：行の先頭
$ ：行の末尾

{n} ：n回ちょうど
{n,} ：n回以上
{n,m} ：n回以上m回以下

() ：グループ化
| ：または（OR）

(?i) ：大文字小文字を区別しない

https? ：http と https
https?:// ：URLの先頭

^[0-9]{4}$ ：4桁数字のみ

<script> ：XSS検出例 ('|--|;) ：SQLインジェクション検出例

"
1110,"SC-H27S-PM2
問1

リバースブルートフォース攻撃とは
","パスワードを固定して何通りものユーザID の組合せを試行する手法である。

その説明に該当する手法は、パスワードスプレー攻撃（Password Spraying）です。
"
1111,"SC-H28S-PM2
問2

システムディレクトリ等に不正なコードを含むファイルを埋め込み, ブラウザなどの既存のプログラムに利用者が意図していない振る舞いをさせる手口
","DLL (Dynamic Link Library) インジェクション攻撃と呼ぶ。
"
1112,"SC-H28A-PM2
問1

★★★
サーバ証明書が不正であるWebに接続するとどうなるか？
","ブラウザで警告が表示される。
そのまま続行してしまう可能性あり！
"
1113,"SC-H28A-PM2
問２

この目的を述べよ。

 2新台帳にはバージョンを含むソフトウェアの情報も記載することにした。
","あなた：ソフトウェアに新たな脆弱性がみつかった時に迅速に対応できるようにするため。
正答例：脆弱性が発見された特定バージョンのソフトウェアが導入された機器を迅速に特定するため

判定：△（一般化しすぎ）
理由：あなたの答案は方向性は近いですが、解答例の要点は「特定バージョンが入っている機器の特定」です。ここを明確に書かないと、脆弱性対応全般の話に広がってしまい減点されやすいです。
"
1114,"SC-H28A-PM2
問２

bashとは
","bash（バッシュ）とは、主に UNIX/Linux系OSで使われるシェル（コマンドライン操作のためのプログラム） の一つです。

正式名称は
Bourne Again SHell（ボーン・アゲイン・シェル） です。

シェルって何？

シェルは
👉「人間が入力した命令を、OS（カーネル）に伝える通訳役」

bashはその中でも 最も広く使われているシェル の一つです。
"
1115,"SC-H28A-PM2
問２

CATとは
","cat
ファイル内容の表示
複数ファイルの連結
標準入力の受け取り、リダイレクトとの組み合わせが豊富

DOSのType
"
1116,"SC-H28A-PM2
問２

httpd とは
","httpd は、HTTPサーバ（Webサーバ）を指す名称・実行プログラム名として使われる言葉です。主に次の意味で使われます。

1. 一般的な意味

HTTP daemon の略です

HTTP（Web）リクエストを受け取り、HTMLや画像などのコンテンツを返す常駐プロセスを指します

「Webサーバそのもの」または「Webサーバのプロセス」という意味合いで使われます
"
1117,"SC-H28A-PM2
問２

HTTPのフィールド値とは
","HTTPのフィールド値とは、HTTPメッセージにおけるヘッダフィールドの「値」の部分を指します。

1. 基本構造
HTTPヘッダは、次の形式で構成されます。
フィールド名: フィールド値

例
Content-Type: text/html; charset=UTF-8
User-Agent: Mozilla/5.0


フィールド名（header field name）
Content-Type, User-Agent など

フィールド値（field value）
text/html; charset=UTF-8, Mozilla/5.0 など

"
1118,"SC-H28A-PM2
問２

あなた：WAF導入だけでよく、パッチ当てによるシステムへの影響の検証作業が不要だから。

正答例：WAFの場合，検証作業の試験項目がパッチ適用のときよりも少なくて済むから 
","判定：△（言い過ぎ＋理由がズレ）
理由：

解答例は「不要」ではなく「試験項目が少なくて済む」です。WAFでも導入・設定変更の検証は必要です。

「影響の検証作業が不要」と断定すると、過剰で不正確になります。
"
1119,"SC-H28A-PM2
問２

あなた：導入までの時間が短く、かつ通信量の上限を随時変更できるから。

正答例：通信量の上限の切替えでWAFの能力変更が随時可能、かつ作業工数やコストの観点から無駄がない。 
","判定：△（一部不足）
理由：あなたの答案は「随時変更できる」は合致しますが、解答例のもう一つの要点である「工数・コスト面で無駄がない」が抜けています。
"
1120,"SC-H28A-PM2
問２

 V チームが機器ごとにリスクを評価し、その結果, j というリスク又は k というリスクが高いと判断された場合は, リスクレベル3とする。
","あなた：j 社外からアクセスできる機器／k 重要情報を扱っている機器
正答例：j＝重要情報が漏えいする、k＝社外から侵入される（順不同） 

判定：×（内容が別物）
理由：この設問は「機器の属性」ではなく、脆弱性対応で優先度を決める観点（リスク）として

j 重要情報が漏えいする
k 社外から侵入される

を挙げる問題です。あなたの答案は“機器分類”になっており、問われ方（リスクの表現）に一致していません。
"
1121,"SC-H28A-PM2
問1

ウイルススキャンが行われないのはどのような場合か。
","・通信が暗号化されている場合
・ファイルが暗号化されている場合

実務的には、他にも「スキャンできない／されない」ケースはある
(1) 圧縮ファイルの場合：ZIP、RAR、7z など。特に パスワード付き圧縮ファイル

(2) 多重圧縮（ネスト）されている場合：zip の中に zip、その中に exe、など。展開回数・サイズ制限を超えるとスキャンされない

(3) 未対応フォーマットの場合：スキャナが解析できない独自形式。破損したファイル形式

(4) 巨大ファイルの場合：サイズ制限超過でスキップされる。タイムアウト回避のために検査省略

(5) 実行時に復号・展開されるタイプ：パッカー型マルウェア。実行時に自己復号する形式。
"
1122,"SC-H28A-PM2
問1

監査とセキュリティ管理の役割を一つの組織にもたせた場合,どのような不都合が起こるか。 30字以内で述べよ。
","あなたの解答
セキュリティに漏れがあった場合、隠蔽される恐れがある。

正解（解答例）
セキュリティ管理の状況を客観的に監査できないという不具合。

判定：×
理由：
この設問は「監査の客観性が確保できない」という統制上の問題を問っています。
あなたの解答は結果的影響の推測に留まっています。
"
1123,"SC-H28A-PM2
問1

IAとは
","「IAは Internet Access の略である」　← 素人じゃないんだから、知ってて当たり前。
"
1124,"SC-H28A-PM2
問1

DLPサーバとは
","DLPサーバとは、組織内の重要情報が外部に漏えいしないよう監視・制御するための仕組み（Data Loss Prevention）を提供するサーバです。
"
1125,"SC-H27A-PM2
問2

この措置は,マルウェア感染ファイルの拡散がどのように起こることを想定したものか。40字以内で具体的に述べよ。
","あなた：同期フォルダがQサービスフォルダと自動的に同期されることによる。
正解：マルウェア感染ファイルが複数の利用者の同期用フォルダ間で自動同期される。

判定：△（一部不足）

理由：「自動同期される」点は合っていますが、「複数の利用者の同期用フォルダ間で（感染ファイルが）広がる」という“拡散の範囲・被害の核心”が弱いです。感染ファイルであること、利用者間に広がることまで書くと〇になります。
"
1126,"SC-H27A-PM2
問2

どういう機能？

試験導入において表出 した問題を踏まえると, 同期用 FS には, マルウェア対策に関して追加すべき機能があると指摘された。 
","あなた：同期完了後FS内のフォルダとファイルを削除する機能。
正解：マルウェア感染ファイルの発見時に利用者に警告を発する機能。

同期用 FSにより, マルウェアが検 知された場合には, Q サービス利用者フォルダや同期ディスクにある感染ファイルは削除されるが,そのことを利用者に通知する機能がない。　← そんなバナナ！しかし、問題文には削除機能は書いてない。
"
1127,"SC-H27A-PM2
問2

どんな問題？

ECB モードをそのまま用いるのは,セキュリティ上の問題がある。
","「同一平文ブロック→同一暗号文」というECBの性質による“推測されやすさ。
"
1128,"SC-H27A-PM2
問2

どんな情報？

暗号化対象ファイルに関係する情報の一部は秘匿されない
","正解：ファイルの名称／おおよそのファイルサイズ 
理由：ここは「暗号化しても（サービス側が）把握できるメタ情報」を問う　← メタ情報！

通常, ファイルを暗号化しても,ファイル名までは秘匿されない。ファイルの属性情報として,更新日付,ファイルサイズ等があるが,通常,更新日付は暗号化した際に変更されて元の情報が秘匿化されるのに対 し,ファイルサイズはそれほど大きく変化しない。
"
1129,"SC-H27A-PM2
問2

どうする？

マルウェア感染ファイルの拡散防止対策が不十分である。
","正解：暗号化フォルダに登録されたファイルは、復号した後でマルウェアスキャンを行うようにする。

暗号化されたファイルに対してマルウェアスキャンを行っ ても有効な結果を得ることはできない。　← 図を見てこれでいいのかと思ったが、自分の理解不足だと思っていたら、単純な話だった。まずは当たり前のことを書く。
"
1130,"SC-H31A-PM1
問1

クッキーはサーバーが発行するのか、クライアントが発行するのか。
","1 クッキーを発行するのは誰か
クッキーはサーバーがHTTPレスポンスで発行します。
具体的には、サーバーが Set-Cookie ヘッダーをレスポンスに含めて返すことで発行されます。

例
Set-Cookie: SESSIONID=abc123; Path=/; Secure; HttpOnly

この時点で、クッキーの内容を決めているのはサーバーです。

2 クッキーを保存・送信するのは誰か
クライアント（Webブラウザ）が、サーバーから受け取ったクッキーを保存します。
そして、次回以降、条件（ドメイン、パス、有効期限など）が一致するリクエストを送る際に、自動的に Cookie ヘッダーとして送信します。

例
Cookie: SESSIONID=abc123
"
1131,"SC-H31A-PM1
問1

プリフライトリクエストとは何か?
","プリフライトリクエストとは、CORS（Cross-Origin Resource Sharing）において、本来のリクエストを送信してよいかを事前に確認するために、ブラウザが自動的に送信する確認用のHTTPリクエストのことです。

要点を段階的に説明します。

1 目的
異なるオリジンへのリクエストが、サーバー側で許可されているかを事前に確認し、危険なリクエストを防ぐことが目的です。
利用者やJavaScriptが明示的に送るものではなく、ブラウザが自動で行います。

2 いつ送られるか
次のような場合、ブラウザは本リクエストの前にプリフライトリクエストを送ります。
・GETやPOST以外のメソッド（PUT、DELETEなど）
・application/json などの「シンプルでない」Content-Type
・独自のHTTPヘッダーを付ける場合
これらは「シンプルリクエスト」に該当しないため、事前確認が必要になります。

3 どんなリクエストか
プリフライトリクエストは、HTTPの OPTIONS メソッドで送信されます。

主なヘッダーは次のとおりです。
・Origin
・Access-Control-Request-Method
・Access-Control-Request-Headers

これにより、
「このオリジンから、このメソッド・ヘッダーでアクセスしてよいか」
をサーバーに問い合わせます。

4 サーバーの応答
サーバーが許可する場合、レスポンスに次のようなヘッダーを返します。
・Access-Control-Allow-Origin
・Access-Control-Allow-Methods
・Access-Control-Allow-Headers

この応答をブラウザが確認し、条件が満たされていれば、初めて本来のリクエストを送信します。
"
1132,"SC-H31A-PM1
問3

あなたの解答：
・MACを使う仕様

正解：
・仕様：MACの生成に共通鍵を使用する。

判定：×
","ここは引っかけというより、「MAC」という言葉を答案に書いただけでは、採点者が“その人が何を理解しているか”を判定できない、という出題上の事情です。

1 「MAC＝共通鍵」は事実だが、設問が欲しいのはそこではありません
暗号の教科書的には、あなたの言うとおりで、MACは（一般に）共通鍵を使う方式です。
しかし、この設問2(3)の空欄は「仕様」を文章で説明させる形になっていて、解答例は

「MACの生成に共通鍵を使用する」という“仕様の中身”を明示しています。

★★★つまり採点基準は、単に用語を言ったかではなく、「鍵を使う真正性確認（改ざん検出）をする仕組みである」という性質を言語化できているか、です。
"
1133,"SC-H31A-PM1
問3

あなたの解答：MACにはゲームシステム全体で同一の共通鍵が使われるから
正解：ゲームサーバに認証サーバと同じ共通鍵を保存する。 
判定：△
","理由：言いたい方向性（共通鍵を使う）は近いですが、解答例が求めているポイントは「認証サーバが作ったMACを、ゲームサーバ側でも検証できるように、同じ共通鍵をゲームサーバに保存する」という配置・運用の説明です。「システム全体で同一鍵」という言い方だと、どこに鍵を置くべきか（ゲームサーバ側に保存）が抜けやすく、採点上は弱くなります。
"
1134,"SC-HR07A-PM
問1

CSPは何の略で、何をするものか。
","CSPは Content Security Policy の略です。
Webブラウザに対して「どの種類のコンテンツを、どこから読み込んでよいか」を指示するセキュリティ機構です。
"
1135,"SC-HR07A-PM
問2

サイドチャネル攻撃とは
","あなたの解答：施設Kから漏れ出す電磁波信号を分析して通信内容を導き出す。

正解：施設Kの外から，鍵管理PCの作動音や鍵管理PCから放出される電磁波を観測し，署名鍵Sを推測する。 

判定：△（要点が一部不足）

理由：電磁波を使う方向性は合っていますが、正解の要点は「作動音や電磁波を観測して、署名鍵Sを推測する（鍵の推測）」です。　← ★★★通信のなからか署名鍵S（とか普通ならPWとか）を推測するのが目的
"
1136,"SC-HR07A-PM
問2

あなたの解答：パスワードを紙に書き留めること。

正解：作業2において，パスワードで暗号化した署名鍵Sと紙に書き留めたパスワードを一緒に移送している点 

","判定：△（一部不足）

理由：「紙に書き留めたパスワード」が問題点に含まれるのは合っています。ただし問われている問題点は「暗号化した署名鍵S」と「紙のパスワード」を“一緒に”移送している点で、セットで書けると満点に近づきます。 　← そうなんよ。このあたり、もっと深く考えて、慎重に。

"
1137,"SC-HR07A-PM
問2

あなたの解答：秘密鍵Sは署名鍵Eで暗号化され、移送用メディアからは署名鍵Eは削除されているため。

正解：復号鍵Dがないので，暗号化された署名鍵Sは復号できない。 

","判定：×（理由が別物）

理由：正解の要点は「復号鍵Dがない」ことです。ご解答は「署名鍵Eで暗号化」「署名鍵Eを削除」としており、鍵の種類と関係（なぜ復号できないか）の説明が解答例の筋と一致していません。 　← そうりゃそうだ。
"
1138,"SC-HR07A-PM
問2

あなたの解答：復号鍵Dと同じファイルの内容。

正解：攻撃者の生成した鍵ペアの暗号鍵 

","判定：×（内容が別物）

理由：問われているのは「置き換えられる（または差し替えられる）鍵の正体」で、正解は「攻撃者が生成した鍵ペアの暗号鍵」です。ご解答の「復号鍵Dと同じファイル内容」は、鍵の同一性や置換対象を示せていません。 　

試験の意図としては「攻撃者が用意した鍵ペア」を指している。　← これなら納得。最初から用意している鍵ペアに置き換えたということか。


"
1139,"SC-HR07A-PM
問4

マルウェア対策ソフトから検知を逃れるために、自分の形を変えるマルウェアは、主に次のように呼ばれます。
","1．ポリモーフィック型マルウェア

2．メタモーフィック型マルウェア
"
1140,"SC-HR07A-PM
問4

マルウェア対策として、なぜ「圧縮」は不正解になるのか
","・圧縮は「結果として見えにくくなることはある」
・暗号化は「検知を回避するために意図的に行う」

という違いが評価されています。

しかしこの設問は、

・実務の細かい挙動
ではなく
・問題文が意図する用語選択
"
1141,"SC-HR07A-PM
問4

ACLとは
","Access Control List
"
1142,"SC-HR07H-PM
問1

セキュリティ・バイ・デザインとは
","システムやサービスを企画・設計する最初の段階から、セキュリティ対策を前提として組み込む考え方のことです。
"
1143,"SC-HR07H-PM
問1

委託先に要求する、再委託先にへのセキュリティに関する契約は？
","L社の業務委託先に要求する対策と同等のセキュリティ対策を、再委託先にも要求させること。

理由：問われているのは「再委託先にも同等レベルの対策を要求させる」という要求範囲（流し先まで同等）です。監査合格条件という手段の話になっており、「同等の対策を再委託先へ要求」という要点が外れています。
"
1144,"SC-HR07H-PM
問1

BOMの利点
","利用しているソフトウェアやそのバージョンが明確になり、脆弱性の影響有無を容易に把握できるから。
　← キーワードは「バージョン」と「構成」
"
1145,"SC-HR07H-PM
問1

なぜ踏み台サーバーなのか。ファイアウォールでもログは取れるではないか。
","ログが取れるかどうかでは、踏み台サーバかファイアウォールかは決まりません。
人がログインして作業する中継点かどうかが判断基準です。

順に整理します。

まず、ファイアウォールの役割です。
・通信を許可／拒否する
・どのIP・ポート・プロトコルを通すかを制御する
・通信ログは取れる

しかしファイアウォールは、
・利用者がログインして操作するものではない
・「共用アカウントでログインする」「踏み台として使う」という使われ方はしない
という点が重要です。

次に、踏み台サーバの役割です。
・管理者や開発者がログインする
・そこから先のサーバへ SSH などで接続する
・誰が・いつ・どこへ入ったかをログで追跡する
・直接内部サーバに入らせないための中継点
"
1146,"SC-HR07H-PM
問1

CI/CDパイプラインとは
","CI/CDパイプラインとは、ソフトウェアの変更を、
「作成 → 検証 → 配布」
まで一連の流れとして自動的に処理する仕組みのことです。

CI（Continuous Integration：継続的インテグレーション）
開発者が作成したプログラムを、頻繁に共有リポジトリへ取り込み、そのたびに自動でビルドやテスト、静的解析などを実行する仕組みです。不具合やエラーを早い段階で発見することが目的です。

CD（Continuous Delivery / Continuous Deployment）
CIで問題がなかった成果物を、
・テスト環境
・本番環境
などへ自動または半自動で反映する仕組みです。
"
